gene_symbols,gene_ids
plxnd1,ENSG00000144476
arx,ENSG00000178031
skap2,ENSG00000205336
thsd7a,ENSG00000204472
asb4,ENSG00000118507
tac1,ENSG00000170017
dlx6,ENSG00000165092
etv1,ENSG00000184254
pax6,ENSG00000178522
mylip,ENSG00000091879
nfix,ENSG00000185046
tspan9,ENSG00000182287
isl1,ENSG00000100336
wwtr1,ENSG00000171885
gabra1,ENSG00000147256
vim,ENSG00000175906
pou2f2,ENSG00000172995
vcan,ENSG00000004848
zic2,ENSG00000005981
epha3,ENSG00000139352
cp,ENSG00000132692
lmo3,ENSG00000119866
nnat,ENSG00000127152
cbln4,ENSG00000127325
pkp2,ENSG00000198797
ybx3,ENSG00000159388
ntn1,ENSG00000131094
ngef,ENSG00000165985
mpped2,ENSG00000154975
fgfr2,ENSG00000163618
klf6,ENSG00000104327
fgfr3,ENSG00000282830
pygm,ENSG00000054803
chat,ENSG00000187094
sema3a,ENSG00000118523
sema3c,ENSG00000118971
plxna2,ENSG00000101489
rarb,ENSG00000070748
dcx,ENSG00000171316
rbfox1,ENSG00000134121
itm2a,ENSG00000154645
slc1a3,ENSG00000120903
kif22,ENSG00000080644
scgn,ENSG00000274542
chrna3,ENSG00000120885
mef2c,ENSG00000118432
sertad4,ENSG00000174469
oprk1,ENSG00000188517
lhx5,ENSG00000204262
nos1,ENSG00000047457
efnb1,ENSG00000168993
dll3,ENSG00000213578
nrcam,ENSG00000196353
zfhx4,ENSG00000124772
angpt2,ENSG00000166426
sema6a,ENSG00000146592
nrp1,ENSG00000147571
sox10,ENSG00000106113
apol4,ENSG00000163499
pvalb,ENSG00000114646
mybl2,ENSG00000109861
dok5,ENSG00000257923
pdyn,ENSG00000111249
slc32a1,ENSG00000168329
wfdc2,ENSG00000107562
celf4,ENSG00000145824
lipg,ENSG00000121966
pls3,ENSG00000276644
gpr50,ENSG00000105516
klf5,ENSG00000109851
flt1,ENSG00000077279
znf423,ENSG00000090932
tox3,ENSG00000292098
eya1,ENSG00000115844
calb1,ENSG00000105880
sfrp1,ENSG00000006377
slc17a7,ENSG00000143006
dbp,ENSG00000147459
dlx5,ENSG00000101134
vipr2,ENSG00000184845
crhr2,ENSG00000149295
nptx2,ENSG00000139318
ptprz1,ENSG00000165891
ezh2,ENSG00000164330
mest,ENSG00000136160
pou6f2,ENSG00000115380
gli3,ENSG00000184349
lhx2,ENSG00000090776
tle4,ENSG00000125266
lhx6,ENSG00000146648
cxcl12,ENSG00000129521
sorcs1,ENSG00000179388
dbx1,ENSG00000170522
ctsc,ENSG00000135638
zbtb16,ENSG00000170370
mdk,ENSG00000171617
sox6,ENSG00000163508
gli1,ENSG00000044524
cux2,ENSG00000116106
oprm1,ENSG00000145242
sparc,ENSG00000154928
npr3,ENSG00000182580
rbp1,ENSG00000178568
hes1,ENSG00000164283
cspg5,ENSG00000196482
foxp1,ENSG00000006468
itga4,ENSG00000104313
pde1a,ENSG00000106462
tacr1,ENSG00000164434
efemp1,ENSG00000168309
fn1,ENSG00000169122
igfbp5,ENSG00000197712
otx1,ENSG00000188610
id2,ENSG00000263513
qpct,ENSG00000215784
dlx2,ENSG00000153266
epha4,ENSG00000127084
tnr,ENSG00000066468
st6galnac5,ENSG00000068078
id3,ENSG00000185070
rcan3,ENSG00000102755
prox1,ENSG00000115414
nrp2,ENSG00000176165
cnr1,ENSG00000150907
akap7,ENSG00000114861
ccn2,ENSG00000128573
olfm3,ENSG00000137166
spp1,ENSG00000162998
pcdh17,ENSG00000022355
ccnd2,ENSG00000163285
satb2,ENSG00000128683
bcl11a,ENSG00000136750
gria2,ENSG00000172020
socs2,ENSG00000168505
clu,ENSG00000131095
chrna2,ENSG00000111087
rdh10,ENSG00000106571
pdzrn3,ENSG00000145451
cxcr4,ENSG00000147257
sv2c,ENSG00000167588
nxph1,ENSG00000174948
npy,ENSG00000102195
necab1,ENSG00000146360
itih5,ENSG00000185477
pde1b,ENSG00000276886
plp1,ENSG00000155511
sox4,ENSG00000120251
cpne5,ENSG00000152578
nrn1,ENSG00000152208
efnb2,ENSG00000198785
nkx2-2,ENSG00000169840
lamp5,ENSG00000180613
fgd3,ENSG00000183474
bcl11b,ENSG00000164116
best3,ENSG00000187821
mchr1,ENSG00000221932
foxp2,ENSG00000287542
